"CIG","COD_CPV","DESCRIZIONE_CPV","OGGETTO_LOTTO"
"8767067C8C","48960000-5","PACCHETTI SOFTWARE PER DRIVER E SISTEMI","SISTEMA INFORMATIVO PER LA GESTIONE DEL SERVIZIO DI RACCOLTA DOMICILIARE DEI RIFIUTI SOLIDI URBANI, GESTITO DA AMIU S.P.A., NELLA CITTA' DI TRANI"
"87647937FD","66510000-8","SERVIZI ASSICURATIVI","AEROPORTI DI PUGLIA SPA - PROCEDURA APERTA IN MODALITÀ TELEMATICA PER L'AFFIDAMENTO DEI SERVIZI ASSICURATIVI POLIZZA RC DEL GESTORE AEROPORTUALE E RC VERSO PRESTATORI D'OPERA "
"870472999B","45213310-9","LAVORI DI COSTRUZIONE DI EDIFICI PER I TRASPORTI SU STRADA","GARA TELEMATICA CON PROCEDURA NEGOZIATA E OFFERTA ECONOMICAMENTE VANTAGGIOSA PER L'AFFIDAMENTO DI LAVORI PER LA REALIZZAZIONE DI 'VELOSTAZIONE - PISTA CICLABILE - VIDEOSORVEGLIANZA' NEL TERRITORIO CITTADINO - PROGRAMMA PATTO PER BARI - CODICE PROGETTO: BITR02 "
"87610696D9","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","PROCEDURA NEGOZIATA, TRAMITE LA PIATTAFORMA TELEMATICA EMPULIA, AI SENSI DELL'ART. 36, COMMA 2, DEL D. LGS. 50/2016 E SS.MM.II., PER L'ACQUISIZIONE DI SOLLEVATORI MOBILI AD IMBRACATURA, ELETTRICO, C/IMBRACATURA STANDARD DI CUI ALL'ALLEGATO 5, ELENCO 2B (COD. 12.36.03.006).  "
"8749158196","63730000-5","SERVIZI DI SUPPORTO VARI AI TRASPORTI AEREI","PROCEDURA APERTA IN MODALITA’ TELEMATICA PER L’AFFIDAMENTO DEI SERVIZI DI MANUTENZIONE ORDINARIA E STRAORDINARIA DEGLI IMPIANTI DI RADIOGENI PER CONTROLLI DI SICUREZZA DEGLI AEROPORTI DI BARI, BRINDISI, FOGGIA E GROTTAGLIE (TA) "
"87734965EF","33162000-3","APPARECCHI E STRUMENTI PER SALA OPERATORIA","PROCEDURA NEGOZIATA TELEMATICA PER L'AFFIDAMENTO DELLA FORNITURA BIENNALE DI MATERIALE DI CONSUMO ED ACCESSORI PER ELETTROBISTURI MOD.ERBE VIO 3 IN DOTAZIONE A DIVERSE STRUTTURE DELL'ASL TARANTO"
"8774156695","33123210-3","APPARECCHI DI CONTROLLO DELLE FUNZIONI CARDIACHE","PROCEDURA NEGOZIATA TELEMATICA PER L'AFFIDAMENTO DELLA FORNITURA DI N.9 CARDIOTOCOGRAFI E RELATIVO SERVIZIO DI ASSISTENZA TECNICA TRIENNALE POST-GARANZIA FULL RISK PER LE NECESSITÀ DELLA S.C. DI OSTETRICIA E GINECOLOGIA DEL P.O.C. STABILIMENTO 'SS.ANNUNZIATA', DEL P.O. 'SAN PIO' DI CASTELLANETA E DEL P.O. 'VALLE D'ITRIA' DI MARTINA FRANCA."
"8751709ABA","34114121-3","AMBULANZE","GARA A PROCEDURA APERTA IN MODALITÀ TELEMATICA PER L'AFFIDAMENTO DELLA FORNITURA, TRAMITE LEASING FINANZIARIO CON OPZIONE DI RISCATTO FINALE, DI N. 55 AMBULANZE DI TIPO 'A'"
"87713223E5","72263000-6","SERVIZI DI IMPLEMENTAZIONE DI SOFTWARE","RIPETIZIONE SERVIZI ANALOGHI RELATIVAMENTE AI SERVIZI DI CONDUZIONE OPERATIVA, ASSISTENZA TECNICO-APPLICATIVA E MANUTENZIONE DEI SISTEMI INFORMATIVI EDOTTO E TRATTAMENTO RICETTE FARMACEUTICHE"
"877083305D","98380000-0","SERVIZI DI CANILE","PROCEDURA NEGOZIATA PER L'AFFIDAMENTO DEL SERVIZIO DI ACCALAPPIACANI RANDAGI DEL TERRITORIO DELLA ASL BT."
"875571763D","45222110-3","LAVORI DI COSTRUZIONE DI DISCARICHE PER RIFIUTI","INTERVENTO DI MESSA IN SICUREZZA DI EMERGENZA DELL'IMPIANTO DI DISCARICA PER RIFIUTI URBANI IN AGRO DI ALTAMURA IN LOCALITÀ LE LAMIE"
"87669961F8","09310000-5","ELETTRICITÀ","GARA EUROPEA TELEMATICA A PROCEDURA APERTA PER LA FORNITURA DI ENERGIA ELETTRICA A PREZZO FISSO PER L'ANNO 2022 PER I PUNTI DI PRELIEVO ALIMENTATI IN MEDIA E BASSA TENSIONE"
"876538615B","33124210-0","PRESIDI RADIODIAGNOSTICI","FORNITURA ANNUALE DEL RADIOFARMACO FLUORODESOSSIGLUCOSIO PER U.O.C.  MEDICINA GENERALE P.O. BARLETTA"
"8770634C21","60130000-8","SERVIZI SPECIALI DI TRASPORTO PASSEGGERI SU STRADA","SERVIZI DI TRASPORTO TURISTI DALL'AREA SERVIZI DI PUNTA PENNA GROSSA"
"8758193181","50421100-3","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI SEDIE A ROTELLE","FORNITURA DI N. 1 LASER  FIBER DUST A FIBRE DI TULLIO DENOMINATO "
"876899646B","90524400-0","RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI","PROCEDURA NEGOZIATA PREVIA MANIFESTAZIONE DI INTERESSE PER L'AFFIDAMENTO DEL SERVIZIO DI RACCOLTA, TRASPORTO E SMALTIMENTO RIFIUTI BIOLOGICI PRESSO LE SEDI DELLA SANITASERVICE ASL FG S.R.L. "
"8726025F9D","50112000-3","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI AUTOMOBILI","SERVIZIO DI MANUTENZIONE ORDINARIA, RIPARAZIONE E LAVAGGIO DEL PARCO MEZZI COMUNALI"
"8718345DE1","98351000-8","SERVIZI DI GESTIONE DI PARCHEGGI","SERVIZIO DI GESTIONE DEL PARCHEGGIO CON SOSTA A PAGAMENTO"
"87371257A2","71221000-3","SERVIZI DI PROGETTAZIONE DI EDIFICI","AFFIDAMENTO INCARICO PER LA PROGETTAZIONE DEFINITIVA/ESECUTIVA E COORDINAMENTO PER LA SICUREZZA IN FASE DI PROGETTAZIONE PER INTERVENTI DI MESSA IN SICUREZZA E RIQUALIFICAZIONE DEGLI EDIFICI PUBBLICI ADIBITI AD USO SCOLASTICO' RELATIVI AL I^ CIRCOLO  E. DE AMICIS"
"873793433F","71221000-3","SERVIZI DI PROGETTAZIONE DI EDIFICI","AFFIDAMENTO INCARICO PER LA PROGETTAZIONE DEFINITIVA/ESECUTIVA E COORDINAMENTO PER LA SICUREZZA IN FASE DI PROGETTAZIONE PER INTERVENTI DI MESSA IN SICUREZZA E RIQUALIFICAZIONE DEGLI EDIFICI PUBBLICI ADIBITI AD USO SCOLASTICO RELATIVI AL IV^ CIRCOLO  BELTRANI"
"87381662B3","71221000-3","SERVIZI DI PROGETTAZIONE DI EDIFICI","AFFIDAMENTO INCARICO PER LA PROGETTAZIONE ESECUTIVA E COORDINAMENTO PER LA SICUREZZA IN FASE DI PROGETTAZIONE PER INTERVENTI DI MESSA IN SICUREZZA E RIQUALIFICAZIONE DEGLI EDIFICI PUBBLICI ADIBITI AD USO SCOLASTICO RELATIVI AL II^ CIRCOLO  PETRONELLI"
"87520357C1","33196200-2","AUSILI PER DISABILI","ACQUISIZIONE AUSILI PROTESICI EX DPCM 12/01/2017 (CARROZZINE AD AUTOSPINTA/MANOVRABILI)"
"8745170694","45112710-5","LAVORI DI ARCHITETTURA PAESAGGISTICA PER AREE VERDI","INFRASTRUTTURE VERDI IXE-CO2 PARCO SAN GIULIANO"
"87100218B4","71330000-0","VARI SERVIZI DI INGEGNERIA","SERVIZI DI ARCHITETTURA ED INGEGNERIA RELATIVI ALL'INTERVENTO DI RIFUNZIONALIZZAZIONE PIANO TERRA PALAZZO SAN DOMENICO E DISIMPERMEABILIZZAZIONE E INFRASTRUTTURE VERDI IN P.ZZA ROOSEVELT "
"8712202088","71330000-0","VARI SERVIZI DI INGEGNERIA","SERVIZI DI ARCHITETTURA ED INGEGNERIA RELATIVI ALL"
"8763596C30","44211000-2","EDIFICI PREFABBRICATI","GARA TELEMATICA CON PROCEDURA NEGOZIATA ART. 63 COMMA 2 LETTERA C) PER LA REALIZZAZIONE DI UNA SCUOLA PRIMARIA MODULARE PREFABBRICATA IN VIA PAPA GIOVANNI PAOLO II A BITRITTO "
"87686506E3","60443000-5","SERVIZI DI SALVATAGGIO AEREO","L'AFFIDAMENTO, DURANTE IL PERIODO ESTIVO (N.3 MESI), IN ORARIO DIURNO H12, DEL SERVIZIO GIORNALIERO DI ELISOCCORSO (HEMS) PER L'AREA GARGANO CON SEDE NEL COMUNE DI VIESTE"
"8757993C72","33123210-3","APPARECCHI DI CONTROLLO DELLE FUNZIONI CARDIACHE","FORNITURA E POSA IN OPERA DI N. 2 POLIGRAFI"
"876938449B","75252000-7","SERVIZI DI SALVATAGGIO","SERVIZIO DI ASSISTENZA E  SALVAMENTO A MARE"
"875988127C","24520000-5","POLIMERI DI PROPILENE IN FORME PRIMARIE","PROCEDURA NEGOZIATA PER L'AFFIDAMENTO DELLA FORNITURA DI N. 500.000 PANNI MONOUSO PER LA PULIZIA E SANIFICAZIONE"
"8730279623","79995100-6","SERVIZI DI ARCHIVIAZIONE"," PROCEDURA (PONTE) EX ART. 36  DEL D.LGS. N.50/2016 E S.M.I. , PER L'AFFIDAMENTO DEL SERVIZIO DI ARCHIVIAZIONE DEI DOCUMENTI  AMMINSTRATIVI E SANITARI DELL'ASL BT_ 6 MESI+6MESI"
"8727102864","33196000-0","AUSILI MEDICI","PROCEDURA APERTA PER LA FORNITURA IN NOLEGGIO DI MATERASSI ANTIDECUBITO CON RELATIVO SOFTWARE DI GESTIONE"
"874302192A","45331220-4","LAVORI DI INSTALLAZIONE DI IMPIANTI DI CLIMATIZZAZIONE","LAVORI DI INSTALLAZIONE  APPARECCHI CLIMATIZZATORI AMBIENTI  VARI DELLA ASL BT"
"86937071F9","45454100-5","LAVORI DI RESTAURO","LAVORI DI  RIFUNZIONALIZZAZIONE PIANO TERRA PALAZZO SAN DOMENICO E DISIMPERMEABILIZZAZIONE E INFRASTRUTTURE VERDI IN P.ZZA ROOSEVELT"
"876139430D","33692000-7","SOLUZIONI MEDICHE","PROCEDURA NEGOZIATA PER LA FORNITURA DI N.  50 CONFEZIONI DEL DISPOSITIVO STIMULAN"
"875751412D","38437100-8","PIPETTE","FORNITURA DI PUNTALI"
"8690578BD4","63730000-5","SERVIZI DI SUPPORTO VARI AI TRASPORTI AEREI","PROCEDURA APERTA IN MODALITA’ TELEMATICA PER L’AFFIDAMENTO DEL SERVIZIO DI ASSISTENZA PASSEGGERI A RIDOTTA MOBILITA’ PRESSO GLI AEROPORTI DI  BARI E BRINDISI"
"8725953436","39370000-6","IMPIANTI IDRICI","RISTRUTTURAZIONE DEGLI AMBIENTI A PIANO TERRA DELLA SEZIONE URBANISTICA PER REALIZZAZIONE ARCHIVIO E FRONT OFFICE SITO IN PIAZZA REPUBBLICA"
"8715718605","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","PROCEDURA NEGOZIATA TELEMATICA EX ART.36 D.LGS.N.50/2016 PER L'AFFIDAMENTO DELLA FORNITURA, BIENNALE, IN NOLEGGIO, DI N.1 SISTEMA PER LA VALUTAZIONE INTRA-OPERATORIA E POST-OPERATORIA DEI LINFONODI SENTINELLA CON METODO 'OSNA', CON I RELATIVI KIT DIAGNOSTICI ED I CONSUMABILI, PER LA NECESSITÀ DELLA S.C. DI ANATOMIA PATOLOGICA DELL'ASL TARANTO"
"8749756F0E","98310000-9","SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO","AFFIDAMENTO DEL SERVIZIO DI LAVAGGIO D.P.I. (INDUMENTI DI LAVORO) ASSEGNATI AI LAVORATORI DIPENDENTI DA PRELEVARE E RICONSEGNARE PRESSO LA SEDE DELL'AMIU S.P.A. IN TRANI (BT) ALLA S.P.168 LOCALITÀ 'PURO VECCHIO'"
"8755996C78","90514000-3","SERVIZI DI RICICLO DEI RIFIUTI","SERVIZIO RECUPERO SELEZIONE MULTI MATERALE LEGGERO"
"872073522F","66518100-5","SERVIZI DI INTERMEDIAZIONE ASSICURATIVA","SERVIZIO DI CONSULENZA ED ASSISTENZA ASSICURATIVA - RCT/O - ALL RISK PROPERTY - INFORTUNI -  KASKO - LIBRO MATRICOLA - RC PATRIMONIALE"
"8684858B89","90511100-3","SERVIZI DI RACCOLTA DI RIFIUTI SOLIDI URBANI","SERVIZIO DI GESTIONE INTEGRATA DEI RIFIUTI SOLIDI URBANI, DI IGIENE URBANA E DI ALTRI SERVIZI COMPLEMENTARI' NEL COMUNE DI SAMMICHELE DI BARI PER UNA DURATA DI 24 MESI "
"8716968D8B","42416000-5","ASCENSORI, ELEVATORI A SKIP, IMPIANTI DI SOLLEVAMENTO, SCALE E MARCIAPIEDI MOBILI","LAVORI DI ADEGUAMENTO E NUOVA INSTALLAZIONE IMPIANTI ASCENSORI E SERVOSCALA PER L'ABBATTIMENTO DELLE BARRIERE ARCHITETTONICHE A NORMA DI LEGGE 13/89 SU EDIFICI ESISTENTI IN BRINDISI E PROVINCIA "
"87297490C6","45454000-4","LAVORI DI RISTRUTTURAZIONE","POR PUGLIA 2014-2020. ASSE PRIORITARIO IV 'ENERGIA SOSTENIBILE E QUALITA' DELLA VITA'. AZIONE 4.1 'INTERVENTI PER L'EFICIENTAMENTO ENERGETICO DEGLI EDIFICI PUBBLICI'. PROGETTO 'SEDE AMMINISTRATIVA UFFICI ISPE LECCE'."
"8666401C56","33696000-5","REAGENTI E MEZZI DI CONTRASTO","PROCEDURA NEGOZIATA PER LA FORNITURA IN REGIME DI SOMMINISTRAZIONE DI REAGENTI NECESSARI ALL'ANALISI MOLECOLARE DEI GENI RESPONSABILI DEI TUMORI EREDO-FAMILIARI - ASL LE."
"8749370089","33171000-9","STRUMENTI PER ANESTESIA E RIANIMAZIONE","FORNITURA URGENTE DI MASCHERE FACCIALI DIMAX ZERO PER LE NECESSITÀ DELLA ASL TARANTO - EMERGENZA COVID-19"
"8695686318","90921000-9","SERVIZI DI DISINFEZIONE E DISINFESTAZIONE","SERVIZIO DI DERATTIZZAZIONE, DISINFESTAZIONE E DISINFEZIONE PRESSO I PRESIDI OSPEDALIERI E STRUTTURE DELL'INTERO TERRITORIO DI PERTINENZA  ASL FG"
"8673013CBB","34114121-3","AMBULANZE","FORNITURA, TRAMITE LEASING FINANZIARIO CON OPZIONE DI RISCATTO FINALE DI N. 22 AMBULANZE DI TIPO 'A'"
"8692699225","45454100-5","LAVORI DI RESTAURO","LAVORI DI EFFICIENTAMENTO ENERGETICO MERCATO COPERTO E RIFUNZIONALIZZAZIONE DEL PIANO INTERRATO"
"8743686DEF","45233294-6","INSTALLAZIONE DI SEGNALI STRADALI","AQ DEI LAVORI DI MANUTENZIONE O RISTRUTTURAZIONE DELLA SEGNALETICA STRADALE NON LUMINOSA ORIZZONTALE DELLE STRADE DEL COMUNE DI MONOPOLI"
"8718801631","33168000-5","APPARECCHI PER ENDOSCOPIA E ENDOCHIRURGIA","FORNITURA E POSA IN OPERA DI N.1 COLONNA ENDOSCOPICA OCCORRENTE AL P.O. PUTIGNANO"
"8651835819","33194100-7","APPARECCHI E STRUMENTI PER INFUSIONE","FORNITURA TRIENNALE IN SERVICE FULL RISK SISTEMA DI PRODUZIONE SIERO AUTOLOGO E MATERIALE CONSUMABILE"
"87424398E2","71323200-0","SERVIZI DI PROGETTAZIONE TECNICA DI IMPIANTI","AFFIDAMENTO DELLA REDAZIONE DEL PROGETTO DEFINITIVO DELL'IMPIANTO DI TRATTAMENTO E RECUPERO DI RIFIUTI DERIVANTI DA SPAZZAMENTO STRADALE NEL COMUNE DI STATTE (TA) "
"8747040DBE","39515000-5","TENDE, TENDINE, TENDAGGI E DRAPPEGGI","SERVIZIO TRIENNALE PER LA FORNITURA E POSA IN OPERA DI TENDAGGI E MATERIALI PER TAPPEZZERIA DA DESTINARE ALLE STRUTTURE SANITARIE DELL'AZIENDA OSPEDALIERO - UNIVERSITARIA POLICLINICO RIUNITI"
"8717565A35","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","PROCEDURA NEGOZIATA TELEMATICA (PIATTAFORMA EMPULIA) EX ART.1 COMMA 2 LETT. B) DELLA L. 120 DELL'11/09/2020, PER L'APPALTO DELLA FORNITURA DI RISME DI CARTA PER STAMPANTI E FOTOCOPIATRICI DELL' A.O.U.C. POLICLINICO DI BARI"
"86845984FC","71251000-2","SERVIZI ARCHITETTONICI E DI MISURAZIONE","AFFIDAMENTO DEI SERVIZI TECNICI PER LA DIREZIONE E IL COORDINAMENTO DELLA SICUREZZA DEI LAVORI DI "
"873121066C","63730000-5","SERVIZI DI SUPPORTO VARI AI TRASPORTI AEREI","AEROPORTI DI PUGLIA SPA - PROCEDURA APERTA IN MODALITÀ TELEMATICA PER LA FORNITURA ED INSTALLAZIONE DI N° 11 RILEVATORI DI ESPLOSIVO CON RELATIVA FORNITURA DI MATERIALI CONSUMABILI E MANUTENZIONE BIENNALE “FULL RISK” SUI 4 SCALI GESTITI DA AEROPORTI DI PUGLIA S.P.A. "
"867176138F","45450000-6","ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI","AFFIDAMENTO DEI LAVORI DI RIQUALIFICAZIONE IMPIANTO SPORTIVO MADONNA DEI MARTIRI "
"873850499E","71323200-0","SERVIZI DI PROGETTAZIONE TECNICA DI IMPIANTI","REDAZIONE DEL PROGETTO DEFINITIVO DELL'IMPIANTO DI TRATTAMENTO E RECUPERO CARTA E CARTONE DI UGENTO"
"8722553E6E","33141000-0","MATERIALI MEDICI NON CHIMICI DI CONSUMO MONOUSO E MATERIALE DI CONSUMO EMATOLOGICO","FORNITURA DI UN SISTEMA DI URODINAMICA E DEL RELATIVO MATERIALE DI CONSUMO PER UN PERIODO QUINQUENNALE"
"87349672CD","34137000-6","VEICOLI USATI PER TRASPORTO MERCI","N. 5 VEICOLI COMMERCIALI PER TRASPORTO MERCI"
"8739852208","45450000-6","ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI","LAVORI DI REALIZZAZIONE NUOVI PERCORSI AL PIANO RIALZATO DELL'EX C.T.O. PER ACCESSO ALL'AMBULATORIO DI RIABILITAZIONE PSICHIATRICA CON SPOSTAMENTO SALA DI ATTESA ED APPARECCHIO PER TAC NEL SERVIZIO DI RADIOLOGIA"
"8725831F85","33696500-0","REATTIVI PER LABORATORIO","NOLEGGIO  QUINQUENNALE DI SISTEMI DI COLORAZIONE+ MATERIALI DI CONSUMO"
"8662074996","45111230-9","LAVORI DI STABILIZZAZIONE DEL TERRENO","CODICE RENDIS 16IR397/G1 - RISANAMENTO VERSANTE COLLINARE CASTELLO - II LOTTO' IN LUCERA (FG)"
"8692555B4D","45454000-4","LAVORI DI RISTRUTTURAZIONE","POR PUGLIA 2014-2020. ASSE PRIORITARIO IV 'ENERGIA SOSTENIBILE E QUALITA' DELLA VITA'. AZIONE 4.1. 'INTERVENTI PER L'EFFICIENTAMENTO ENERGETICO DEGLI EDIFICI PUBBLICI'. PROGETTO 'ISPE DI MAGLIE: VIA G. DE GIUSEPPE - ORFANOTROFIO - C. ANNESI'."
"86484617C9","66600000-6","SERVIZI DI TESORERIA","AFFIDAMENTO DEL SERVIZIO DI TESORERIA COMUNALE ANNO 2021"
"8688522B2A","33111720-4","APPARECCHI PER ANGIOGRAFIA","PROCEDURA DI AFFIDAMENTO, AI SENSI DEL COMBINATO DISPOSTO DEGLI ARTT. 36 COMMA 1 E 68 DEL D.LGS 50/2016 E S.M.I E ART. 1 DELLA LEGGE DEL 11/09/2020, N. 120, PER LA FORNITURA DI N. 1 POLIGRAFO PER STUDI EMODINAMICI ED ELETTROFISIOLOGICI IN CARDIOLOGIA PEDIATRICA E CARDIOPATIE CONGENITE, CON RELATIVO SERVIZIO DI ASSISTENZA TECNICA"
"8717372AF0","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","PROCEDURA NEGOZIATA TELEMATICA (PIATTAFORMA EMPULIA9 EX ART. 1 COMMA 2 LETT.B) DELLA L. N. 120 DELL'11/09/2020, PER L'APPALTO DELLA FORNITURA  DI LENZUOLINI IN ROTOLO DELL' A.O.U.C. POLICLINICO DI BARI"
"8686261157","72322000-8","SERVIZI DI GESTIONE DATI","SERVIZIO DI SUPPORTO ALLE ATTIVITÀ DI AACERTAMENTO E RISCOSSIONE DEI TRIBUTI E ALTRE ENTRATE DEL COMUNE DI MONOPOLI"
"8718979914","45454000-4","LAVORI DI RISTRUTTURAZIONE","AFFIDAMENTO LAVORI PER INTERVENTI DI MIGLIORAMENTO SISMICO DELL'EDIFICIO PLESSO SCOLASTICO SAN GIOVANNI BOSCO."
"871534630A","33158000-2","TERAPIA ELETTRICA, ELETTROMAGNETICA E MECCANICA","FORNITURA DI UN SISTEMA DI DIAMAGNETOTERAPIA."
"8627531FCB","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","FORNITURA SISTEMI DI MONITORAGGIO FLASH DEL GLUCOSIO"
"8627531FCB","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","FORNITURA SISTEMI DI MONITORAGGIO FLASH DEL GLUCOSIO"
"8647944D23","33167000-8","LAMPADE OPERATORIE","FORNITURA ED INSTALLAZIONE DI N. 5 LAMPADE SCIALITICHE A SOFFITTO A DOPPIO CORPO ILLUMINANTE DA DESTINARE ALL'U.O.C. ANESTESIA E RIANIMAZIONE DEL P.O. DI BARLETTA."
"8730686601","90712400-5","SERVIZI DI PIANIFICAZIONE STRATEGICA PER LA GESTIONE O CONSERVAZIONE DELLE RISORSE NATURALI","ANALISI DELL'AGROBIODIVERSITÀ E STUDIO DELLE SPECIE VEGETALI COLTIVATE A RISCHIO DI ESTINZIONE NELL'AREA DELL'AZIONE PILOTA 1 DEL PROGETTO BEST E RELATIVO PIANO DI AZIONE"
"8720345059","45454000-4","LAVORI DI RISTRUTTURAZIONE","RIQUALIFICAZIONE AMBIENTI DESTINATI ALLE ATTIVITÀ AMBULATORIALI DELLA S.C. OTORINOLARINGOIATRIA DEL POLICLINICO RIUNITI DI FOGGIA"
"8740308A53","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","FORNITURA ANNUALE DISPOSITIVO MEDICO GLUNOVO DITTA ALPHA FARMA SERVICE SRL"
"869009908F","33191000-5","APPARECCHI PER LA STERILIZZAZIONE, LA DISINFEZIONE E L'IGIENE","FORNITURA IN SERVICE DI SISTEMI PER L'ALTA DISINFEZIONE AMBIENTALE E RELATIVO MATERIALE DI CONSUMO PER LE NECESSITÀ DELLA ASL TARANTO PER UN ANNO CON OPZIONE DI UN ULTERIORE ANNO - EMERGENZA COVID-19"
"8712202088","71330000-0","VARI SERVIZI DI INGEGNERIA","SERVIZI DI ARCHITETTURA ED INGEGNERIA RELATIVI ALL"
"87100218B4","71330000-0","VARI SERVIZI DI INGEGNERIA","SERVIZI DI ARCHITETTURA ED INGEGNERIA RELATIVI ALL'INTERVENTO DI RIFUNZIONALIZZAZIONE PIANO TERRA PALAZZO SAN DOMENICO E DISIMPERMEABILIZZAZIONE E INFRASTRUTTURE VERDI IN P.ZZA ROOSEVELT "
"87377478EC","45111100-9","LAVORI DI DEMOLIZIONE","LAVORI DI DEMOLIZIONE DI TRE CASE COLONICHE, EX ERSAP, SITE NEL C.D. GHETTO DI RIGNANO, IN LOCALITÀ TORRETTA, SAN SEVERO (FG) "
"8696258B1D","39122100-4","ARMADI","APPALTO PER LA FORNITURA DI ARREDI E ALLESTIMENTI - PALAZZO FRACCHIOLLA MINERVA - MUSEO DEI VESCOVI"
"86618207FB","22993300-0","CARTA O CARTONE, TERMOGRAFICI","PROCEDURA NEGOZIATA FORNITURA PERIODICA DI STAMPATI"
"8718281912","45213260-3","LAVORI DI COSTRUZIONE DI DEPOSITI DI STOCCAGGIO","ALLALTO RELATIVO AI LAVORI DI AMPLIAMENTO E AMMORDENAMENTO DEL CENTRO COMUNALE DI RACCOLTA"
"869976485C","45454000-4","LAVORI DI RISTRUTTURAZIONE","DIRETTIVA N. 27/21 COVID 19 - TRASFERIMENTO PALESTRA FISIATRIA E ADEGUAMENTO LOCALI PIANO SEMINTERRATO CORPO A RIUNITI"
"87295024F0","22990000-6","CARTA DA GIORNALE, CARTA FABBRICATA A MANO, ALTRA CARTA ED ALTRO CARTONE DEI TIPI UTILIZZATI PER SCOPI GRAFICI","FORNITURA DI CARTA PER COPIA E GRAFICA, MISTA O VERGINE E RICICLATA, CONFORME AL DECRETO DEL MINISTRO DELL"
"8624566104","66600000-6","SERVIZI DI TESORERIA","PROVEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO DI TESORERIA E CASSA DELLA ASL BR"
"8730057EED","15850000-1","PASTE ALIMENTARI","FORNITURA DERRATE ALIMENTARI"
"872133407F","31430000-9","ACCUMULATORI ELETTRICI","PROCEDURA NEGOZIATA TELEMATICA PER ACCUMULATORI ELETTRICI"
"8670107E9F","34114100-0","AUTOVEICOLI DI SOCCORSO","FORNITURA DI N. 3 AUTOMEDICHE PER L'ATTIVITÀ DI SUPPORTO AL SERVIZIO DI EMERGENZA-URGENZA - 118"
"8672262100","30192700-8","CANCELLERIA","FORNITURA TRIENNALE DI MATERIALE DI CANCELLERIA ED ARTICOLI PER UFFICIO"
"86977981F9","48960000-5","PACCHETTI SOFTWARE PER DRIVER E SISTEMI","SISTEMA INFORMATIVO PER LA GESTIONE DEL SERVIZIO DI RACCOLTA DOMICILIARE DEI RIFIUTI SOLIDI URBANI, GESTITO DA AMIU S.P.A., NELLA CITTA' DI TRANI"
"8576574CC0","85311000-2","SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO","SERVIZI DI ACCOGLIENZA E INTEGRAZIONE DELLE PERSONE STRANIERE (SIPROIMI)"
"8634020AB1","71322000-1","SERVIZI DI PROGETTAZIONE TECNICA PER LA COSTRUZIONE DI OPERE DI INGEGNERIA CIVILE","AFFIDAMENTO SERVIZI TECNICI PER INTERVENTO DI FRUIZIONE E VALORIZZAZIONE CAVA DEI DINOSAURI IN LOCALI PONTRELLI."
"8713686928","33141310-6","SIRINGHE","PROCEDURA NEGOZIATA TELEMATICA PER L' AFFIDAMENTO DELLA FORNITURA DI SIRINGHE PER EMOGASANALISI PER LE NECESSITÀ DELLA ASL DI TARANTO "
"8710998EF1","33120000-7","SISTEMI DI REGISTRAZIONE E DISPOSITIVI DI ESPLORAZIONE","FORNITURA E POSA IN OPERA DI UN POLIGRAFO DA DESTINARE ALLA UOSVD EMODINAMICA DEL P.O. DI ANDRIA"
"858254080E","45223200-8","LAVORI STRUTTURALI","INTERVENTO DI ADEGUAMENTO SISMICO DEL PLESSO SCOLASTICO COSIDDETTO 'BIANCO' DELLA SCUOLA SECONDARIA STATALE DI I GRADO 'D. COTUGNO - CARDUCCI - GIOVANNI XXIII'"
"871685504F","34992200-9","SEGNALETICA STRADALE","SERVIZIO DI MANUTENZIONE DELLA SEGNALETICA STRADALE VERTICALE FISSA SUL TERRITORIO DEL COMUNE DI MONOPOLI"
"8692699225","45454100-5","LAVORI DI RESTAURO","LAVORI DI EFFICIENTAMENTO ENERGETICO MERCATO COPERTO E RIFUNZIONALIZZAZIONE DEL PIANO INTERRATO"
"86937071F9","45454100-5","LAVORI DI RESTAURO","LAVORI DI  RIFUNZIONALIZZAZIONE PIANO TERRA PALAZZO SAN DOMENICO E DISIMPERMEABILIZZAZIONE E INFRASTRUTTURE VERDI IN P.ZZA ROOSEVELT"
